Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
30279,634.927,212.560556425386,181.510181599753,1.17106684898868,0.520400660291264,30600,196.347702240276,0.775688484693224,0.989509803921569,0.943851783250593,0.923725951522894,0.00702006527379987,0.0031527787389953,0.853269633516877,0.999235781060337,SEKER
30834,631.934,217.227812764409,180.897468573821,1.20083390042444,0.553642224684321,31120,198.13901211615,0.783682805947388,0.990809768637532,0.970278230120595,0.912125429956056,0.00704507403400173,0.00300803981211981,0.83197279997252,0.999061142438045,SEKER
31158,641.105,212.0669751385,187.192960068368,1.13287900923757,0.469924156725518,31474,199.17730225821,0.781313473256601,0.989959966956853,0.952623101345308,0.939218858231592,0.00680618060011876,0.00326700987845184,0.882132063657855,0.9993488982934,SEKER
31272,638.666,212.450318949182,187.535938994111,1.13285122888287,0.469883494214805,31593,199.541341688779,0.770322199231451,0.989839521412971,0.963425036380755,0.939237665896417,0.00679362749261901,0.00326124551720406,0.88216739303855,0.999364415284123,SEKER
31374,636.401,219.865394008333,182.008863698133,1.207992784203,0.560994520118261,31604,199.8664991351,0.769196822594881,0.992722440197443,0.973459862403212,0.909040279106065,0.0070078853193196,0.0029518837956689,0.826354229037234,0.998229945872614,SEKER
31573,674.103,217.307026058546,185.448250670846,1.17179334543439,0.521268390422128,32197,200.499356971346,0.756964756653081,0.980619312358294,0.873118506983121,0.922654736977205,0.0068826853976038296,0.00307676654467165,0.851291763666475,0.997538023687478,SEKER
31703,656.305,215.708906739895,187.272449690278,1.15184538407356,0.496263280854626,32093,200.911705200914,0.777110501029513,0.987847817281027,0.924908560143662,0.931401990939466,0.00680405345676734,0.0031586108837337,0.867509668726,0.999237007561227,SEKER
31823,662.532,222.872688946637,181.894696257825,1.22528415358922,0.577858150317048,32274,201.291584603299,0.774847820793767,0.986025903203817,0.911039619618029,0.903168466063129,0.00700350969256943,0.00287455458764103,0.815713278090826,0.999480553517006,SEKER
31992,640.338,212.88736370737,191.487253659592,1.11175736054902,0.436968431674381,32258,201.825368859238,0.774212284013359,0.991753983507967,0.980466376243067,0.948038274064317,0.00665439371428389,0.00331582605174689,0.898776569090849,0.99922146617575,SEKER
32015,653.676,212.929989278447,191.810134583788,1.11010812718779,0.434206940282972,32375,201.897904953707,0.761880964279765,0.988880308880309,0.941538948867788,0.948189147230393,0.00665094453470082,0.00331621752056693,0.8990626589255,0.998056764524262,SEKER
32026,654.237,230.979067419152,176.931808304158,1.30546943273243,0.642831065083752,32349,201.932586918725,0.779448987538941,0.990015147299762,0.940247873362075,0.874246264715767,0.00721223591516742,0.00259887163247107,0.76430653136947,0.997778813940591,SEKER
32044,652.651,216.147146845467,188.970540325967,1.14381398535783,0.485443520101132,32395,201.989326380117,0.778069153069153,0.989164994597932,0.94535422940668,0.934499156375763,0.00674532351908212,0.00317320552276394,0.873288673267012,0.998879797737396,SEKER
32109,663.582,224.472352289152,182.364496199987,1.23089941828912,0.583080943792937,32567,202.194086317828,0.767625331707667,0.985936684373753,0.91632059983195,0.900752739728826,0.00699094809209731,0.00283882229412411,0.811355498128986,0.998697010672646,SEKER
32251,644.051,220.980962776812,186.027783501276,1.1878922525317,0.539747142543915,32514,202.640688306307,0.764060649135276,0.991911176723873,0.977040421644609,0.917005183432799,0.00685191041446192,0.00298867438291836,0.840898506442622,0.998896820968672,SEKER
32323,649.59,217.371457379769,189.591319048293,1.14652642573999,0.489149967062039,32615,202.866758746904,0.784843628593629,0.991047064234248,0.962593367623502,0.933272294312662,0.00672497779846453,0.00314705338997045,0.870997175331621,0.998621278262591,SEKER
32368,675.385,221.658064937458,186.17622928518,1.19058198669352,0.542701939342946,32806,203.007924929023,0.759099437148218,0.986648783759069,0.891708502338534,0.915860765031501,0.00684806181838416,0.00297211255833939,0.838800940924086,0.998661290685795,SEKER
32376,643.009,219.130013730037,188.300427392052,1.16372552502919,0.511456520670891,32608,203.033010863617,0.784302325581395,0.99288518155054,0.984008731460785,0.926541314024415,0.00676828557357417,0.00307692983967631,0.85847880659409,0.999033699930142,SEKER
32433,653.76,219.83669711196,188.00923682406,1.16928668413076,0.518261407847296,32775,203.211658510026,0.76932017647896,0.989565217391304,0.953586943724989,0.9243755077276,0.00677817954281009,0.00305271703844801,0.854470079286658,0.999120485698042,SEKER
